dataset,use_aug,use_layer_norm,feats_weighting,score_full_mean,score_partial_mean,score_partial_std
Accent,True,True,True,0.69696968793869,0.699,0.039
Accent,True,True,False,0.772727251052856,0.734,0.037
Accent,True,False,True,0.80303031206131,0.729,0.046
Accent,True,False,False,0.727272748947144,0.707,0.038
Accent,False,True,True,0.757575750350952,0.713,0.042
Accent,False,True,False,0.727272748947144,0.723,0.056
Accent,False,False,True,0.757575750350952,0.711,0.056
Accent,False,False,False,0.757575750350952,0.723,0.038
Breast,True,True,True,0.964912295341492,0.968,0.007
Breast,True,True,False,0.964912295341492,0.967,0.008
Breast,True,False,True,0.947368443012238,0.955,0.009
Breast,True,False,False,0.964912295341492,0.963,0.008
Breast,False,True,True,0.973684191703796,0.969,0.006
Breast,False,True,False,0.964912295341492,0.966,0.006
Breast,False,False,True,0.973684191703796,0.969,0.007
Breast,False,False,False,0.973684191703796,0.974,0.008
Spam,True,True,True,0.973684191703796,0.971,0.007
Spam,True,True,False,0.964912295341492,0.962,0.008
Spam,True,False,True,0.947368443012238,0.954,0.007
Spam,True,False,False,0.964912295341492,0.962,0.006
Spam,False,True,True,0.964912295341492,0.962,0.005
Spam,False,True,False,0.973684191703796,0.966,0.006
Spam,False,False,True,0.973684191703796,0.974,0.003
Spam,False,False,False,0.964912295341492,0.969,0.007
Sonar,True,True,True,0.88095235824585,0.888,0.016
Sonar,True,True,False,0.857142865657806,0.858,0.01
Sonar,True,False,True,0.904761910438538,0.906,0.011
Sonar,True,False,False,0.88095235824585,0.878,0.022
Sonar,False,True,True,0.809523820877075,0.83,0.018
Sonar,False,True,False,0.857142865657806,0.858,0.014
Sonar,False,False,True,0.785714268684387,0.805,0.017
Sonar,False,False,False,0.857142865657806,0.859,0.028
Banknote,True,True,True,0.963636338710785,0.901,0.054
Banknote,True,True,False,0.978181838989258,0.914,0.044
Banknote,True,False,True,0.970909118652344,0.886,0.072
Banknote,True,False,False,0.974545478820801,0.918,0.046
Banknote,False,True,True,0.974545478820801,0.836,0.149
Banknote,False,True,False,0.996363639831543,0.89,0.082
Banknote,False,False,True,0.996363639831543,0.839,0.104
Banknote,False,False,False,0.996363639831543,0.866,0.082
Ecoli,True,True,True,0.632352948188782,0.613,0.031
Ecoli,True,True,False,0.617647051811218,0.622,0.015
Ecoli,True,False,True,0.632352948188782,0.624,0.013
Ecoli,True,False,False,0.617647051811218,0.618,0.011
Ecoli,False,True,True,0.632352948188782,0.605,0.047
Ecoli,False,True,False,0.632352948188782,0.599,0.037
Ecoli,False,False,True,0.647058844566345,0.609,0.039
Ecoli,False,False,False,0.632352948188782,0.609,0.036
Wifi,True,True,True,0.975000023841858,0.966,0.02
Wifi,True,True,False,0.972500026226044,0.97,0.015
Wifi,True,False,True,0.975000023841858,0.966,0.018
Wifi,True,False,False,0.972500026226044,0.969,0.014
Wifi,False,True,True,0.9825000166893,0.908,0.121
Wifi,False,True,False,0.980000019073486,0.967,0.019
Wifi,False,False,True,0.977500021457672,0.924,0.08
Wifi,False,False,False,0.977500021457672,0.961,0.024
Iris,True,True,True,0.933333337306976,0.883,0.09
Iris,True,True,False,0.966666638851166,0.867,0.097
Iris,True,False,True,0.933333337306976,0.842,0.161
Iris,True,False,False,1,0.883,0.107
Iris,False,True,True,0.966666638851166,0.817,0.146
Iris,False,True,False,0.933333337306976,0.817,0.15
Iris,False,False,True,0.933333337306976,0.775,0.162
Iris,False,False,False,0.933333337306976,0.842,0.159
Iris,TRUE,TRUE,loss,0.88095235824585,0.875,0.018
